,id,avg,date,dateStandard,value,unit,address,coordinates,date_modified,acronimo_short
0,QA00NO0001,1h,202105260100000000,UTC,50.0,µg/m3,Calçada da Ajuda,"{'x': -92781, 'y': -106663, 'z': 0, 'lat': 38.70263097, 'lng': -9.199692206}",2021-05-26 01:00:00,QA00
1,QA0NO20001,1h,202105260100000000,UTC,133.0,µg/m3,Calçada da Ajuda,"{'x': -92781, 'y': -106663, 'z': 0, 'lat': 38.70263097, 'lng': -9.199692206}",2021-05-26 01:00:00,QA0N
2,QA00O30001,1h,202105260100000000,UTC,121.0,µg/m3,Calçada da Ajuda,"{'x': -92781, 'y': -106663, 'z': 0, 'lat': 38.70263097, 'lng': -9.199692206}",2021-05-26 01:00:00,QA00
3,QAPM250001,1h,202105260100000000,UTC,13.0,µg/m3,Calçada da Ajuda,"{'x': -92781, 'y': -106663, 'z': 0, 'lat': 38.70263097, 'lng': -9.199692206}",2021-05-26 01:00:00,QAPM
4,QAPM100001,1h,202105260100000000,UTC,34.0,µg/m3,Calçada da Ajuda,"{'x': -92781, 'y': -106663, 'z': 0, 'lat': 38.70263097, 'lng': -9.199692206}",2021-05-26 01:00:00,QAPM
5,QA0SO20001,1h,202105260100000000,UTC,13.0,µg/m3,Calçada da Ajuda,"{'x': -92781, 'y': -106663, 'z': 0, 'lat': 38.70263097, 'lng': -9.199692206}",2021-05-26 01:00:00,QA0S
6,QA00CO0001,1h,202105260100000000,UTC,-99.0,mg/m3,Calçada da Ajuda,"{'x': -92781, 'y': -106663, 'z': 0, 'lat': 38.70263097, 'lng': -9.199692206}",2021-05-26 01:00:00,QA00
7,RULAEQ0001,1h,202105260100000000,UTC,52.0,dB(A),Calçada da Ajuda,"{'x': -92781, 'y': -106663, 'z': 0, 'lat': 38.70263097, 'lng': -9.199692206}",2021-05-26 01:00:00,RULA
8,ME00PA0001,1h,202105260100000000,UTC,1014.0,Mbar,Calçada da Ajuda,"{'x': -92781, 'y': -106663, 'z': 0, 'lat': 38.70263097, 'lng': -9.199692206}",2021-05-26 01:00:00,ME00
9,ME00HR0001,1h,202105260100000000,UTC,63.2,%,Calçada da Ajuda,"{'x': -92781, 'y': -106663, 'z': 0, 'lat': 38.70263097, 'lng': -9.199692206}",2021-05-26 01:00:00,ME00
10,METEMP0001,1h,202105260100000000,UTC,16.8,ºC,Calçada da Ajuda,"{'x': -92781, 'y': -106663, 'z': 0, 'lat': 38.70263097, 'lng': -9.199692206}",2021-05-26 01:00:00,METE
11,ME00VI0001,1h,202105260100000000,UTC,-99.0,km/h,Calçada da Ajuda,"{'x': -92781, 'y': -106663, 'z': 0, 'lat': 38.70263097, 'lng': -9.199692206}",2021-05-26 01:00:00,ME00
12,ME00VD0001,1h,202105260100000000,UTC,-99.0,º,Calçada da Ajuda,"{'x': -92781, 'y': -106663, 'z': 0, 'lat': 38.70263097, 'lng': -9.199692206}",2021-05-26 01:00:00,ME00
13,ME00PP0001,1h,202105260100000000,UTC,-99.0,mm,Calçada da Ajuda,"{'x': -92781, 'y': -106663, 'z': 0, 'lat': 38.70263097, 'lng': -9.199692206}",2021-05-26 01:00:00,ME00
14,QA00NO0002,1h,202105260100000000,UTC,1.0,µg/m3,Restelo - Rua Gonçalo Velho Cabral,"{'x': -93600.6515, 'y': -106330.6078, 'z': 0, 'lat': 38.70553838, 'lng': -9.20915802}",2021-05-26 01:00:00,QA00
15,QA0NO20002,1h,202105260100000000,UTC,52.0,µg/m3,Restelo - Rua Gonçalo Velho Cabral,"{'x': -93600.6515, 'y': -106330.6078, 'z': 0, 'lat': 38.70553838, 'lng': -9.20915802}",2021-05-26 01:00:00,QA0N
16,QA00O30002,1h,202105260100000000,UTC,94.0,µg/m3,Restelo - Rua Gonçalo Velho Cabral,"{'x': -93600.6515, 'y': -106330.6078, 'z': 0, 'lat': 38.70553838, 'lng': -9.20915802}",2021-05-26 01:00:00,QA00
17,QAPM250002,1h,202105260100000000,UTC,12.0,µg/m3,Restelo - Rua Gonçalo Velho Cabral,"{'x': -93600.6515, 'y': -106330.6078, 'z': 0, 'lat': 38.70553838, 'lng': -9.20915802}",2021-05-26 01:00:00,QAPM
18,QAPM100002,1h,202105260100000000,UTC,32.0,µg/m3,Restelo - Rua Gonçalo Velho Cabral,"{'x': -93600.6515, 'y': -106330.6078, 'z': 0, 'lat': 38.70553838, 'lng': -9.20915802}",2021-05-26 01:00:00,QAPM
19,QA0SO20002,1h,202105260100000000,UTC,-99.0,µg/m3,Restelo - Rua Gonçalo Velho Cabral,"{'x': -93600.6515, 'y': -106330.6078, 'z': 0, 'lat': 38.70553838, 'lng': -9.20915802}",2021-05-26 01:00:00,QA0S
20,QA00CO0002,1h,202105260100000000,UTC,0.009600000000000001,mg/m3,Restelo - Rua Gonçalo Velho Cabral,"{'x': -93600.6515, 'y': -106330.6078, 'z': 0, 'lat': 38.70553838, 'lng': -9.20915802}",2021-05-26 01:00:00,QA00
21,RULAEQ0002,1h,202105260100000000,UTC,52.0,dB(A),Restelo - Rua Gonçalo Velho Cabral,"{'x': -93600.6515, 'y': -106330.6078, 'z': 0, 'lat': 38.70553838, 'lng': -9.20915802}",2021-05-26 01:00:00,RULA
22,ME00PA0002,1h,202105260100000000,UTC,1011.0,Mbar,Restelo - Rua Gonçalo Velho Cabral,"{'x': -93600.6515, 'y': -106330.6078, 'z': 0, 'lat': 38.70553838, 'lng': -9.20915802}",2021-05-26 01:00:00,ME00
23,ME00HR0002,1h,202105260100000000,UTC,66.7,%,Restelo - Rua Gonçalo Velho Cabral,"{'x': -93600.6515, 'y': -106330.6078, 'z': 0, 'lat': 38.70553838, 'lng': -9.20915802}",2021-05-26 01:00:00,ME00
24,METEMP0002,1h,202105260100000000,UTC,16.1,ºC,Restelo - Rua Gonçalo Velho Cabral,"{'x': -93600.6515, 'y': -106330.6078, 'z': 0, 'lat': 38.70553838, 'lng': -9.20915802}",2021-05-26 01:00:00,METE
25,ME00VI0002,1h,202105260100000000,UTC,-99.0,km/h,Restelo - Rua Gonçalo Velho Cabral,"{'x': -93600.6515, 'y': -106330.6078, 'z': 0, 'lat': 38.70553838, 'lng': -9.20915802}",2021-05-26 01:00:00,ME00
26,ME00VD0002,1h,202105260100000000,UTC,-99.0,º,Restelo - Rua Gonçalo Velho Cabral,"{'x': -93600.6515, 'y': -106330.6078, 'z': 0, 'lat': 38.70553838, 'lng': -9.20915802}",2021-05-26 01:00:00,ME00
27,ME00PP0002,1h,202105260100000000,UTC,-99.0,mm,Restelo - Rua Gonçalo Velho Cabral,"{'x': -93600.6515, 'y': -106330.6078, 'z': 0, 'lat': 38.70553838, 'lng': -9.20915802}",2021-05-26 01:00:00,ME00
28,QA00NO0003,1h,202105260100000000,UTC,-99.0,µg/m3,Cais do Sodré,"{'x': -87898.5002957, 'y': -106426.059635, 'z': 0, 'lat': 38.7052635, 'lng': -9.143602756}",2021-05-26 01:00:00,QA00
29,QA0NO20003,1h,202105260100000000,UTC,103.0,µg/m3,Cais do Sodré,"{'x': -87898.5002957, 'y': -106426.059635, 'z': 0, 'lat': 38.7052635, 'lng': -9.143602756}",2021-05-26 01:00:00,QA0N
30,QA00O30003,1h,202105260100000000,UTC,6.0,µg/m3,Cais do Sodré,"{'x': -87898.5002957, 'y': -106426.059635, 'z': 0, 'lat': 38.7052635, 'lng': -9.143602756}",2021-05-26 01:00:00,QA00
31,QAPM250003,1h,202105260100000000,UTC,9.0,µg/m3,Cais do Sodré,"{'x': -87898.5002957, 'y': -106426.059635, 'z': 0, 'lat': 38.7052635, 'lng': -9.143602756}",2021-05-26 01:00:00,QAPM
32,QAPM100003,1h,202105260100000000,UTC,25.0,µg/m3,Cais do Sodré,"{'x': -87898.5002957, 'y': -106426.059635, 'z': 0, 'lat': 38.7052635, 'lng': -9.143602756}",2021-05-26 01:00:00,QAPM
33,QA0SO20003,1h,202105260100000000,UTC,-99.0,µg/m3,Cais do Sodré,"{'x': -87898.5002957, 'y': -106426.059635, 'z': 0, 'lat': 38.7052635, 'lng': -9.143602756}",2021-05-26 01:00:00,QA0S
34,QA00CO0003,1h,202105260100000000,UTC,0.0117,mg/m3,Cais do Sodré,"{'x': -87898.5002957, 'y': -106426.059635, 'z': 0, 'lat': 38.7052635, 'lng': -9.143602756}",2021-05-26 01:00:00,QA00
35,RULAEQ0003,1h,202105260100000000,UTC,54.0,dB(A),Cais do Sodré,"{'x': -87898.5002957, 'y': -106426.059635, 'z': 0, 'lat': 38.7052635, 'lng': -9.143602756}",2021-05-26 01:00:00,RULA
36,ME00PA0003,1h,202105260100000000,UTC,1017.0,Mbar,Cais do Sodré,"{'x': -87898.5002957, 'y': -106426.059635, 'z': 0, 'lat': 38.7052635, 'lng': -9.143602756}",2021-05-26 01:00:00,ME00
37,ME00HR0003,1h,202105260100000000,UTC,65.9,%,Cais do Sodré,"{'x': -87898.5002957, 'y': -106426.059635, 'z': 0, 'lat': 38.7052635, 'lng': -9.143602756}",2021-05-26 01:00:00,ME00
38,METEMP0003,1h,202105260100000000,UTC,17.2,ºC,Cais do Sodré,"{'x': -87898.5002957, 'y': -106426.059635, 'z': 0, 'lat': 38.7052635, 'lng': -9.143602756}",2021-05-26 01:00:00,METE
39,ME00VI0003,1h,202105260100000000,UTC,-99.0,km/h,Cais do Sodré,"{'x': -87898.5002957, 'y': -106426.059635, 'z': 0, 'lat': 38.7052635, 'lng': -9.143602756}",2021-05-26 01:00:00,ME00
40,ME00VD0003,1h,202105260100000000,UTC,-99.0,º,Cais do Sodré,"{'x': -87898.5002957, 'y': -106426.059635, 'z': 0, 'lat': 38.7052635, 'lng': -9.143602756}",2021-05-26 01:00:00,ME00
41,ME00PP0003,1h,202105260100000000,UTC,-99.0,mm,Cais do Sodré,"{'x': -87898.5002957, 'y': -106426.059635, 'z': 0, 'lat': 38.7052635, 'lng': -9.143602756}",2021-05-26 01:00:00,ME00
42,QA0NO20004,1h,202105260100000000,UTC,33.0,µg/m3,Alcântara - Rua dos Lusíadas,"{'x': -90989.1053, 'y': -106364.6055, 'z': 0, 'lat': 38.70550458, 'lng': -9.179135475}",2021-05-26 01:00:00,QA0N
43,QAPM250004,1h,202105260100000000,UTC,8.0,µg/m3,Alcântara - Rua dos Lusíadas,"{'x': -90989.1053, 'y': -106364.6055, 'z': 0, 'lat': 38.70550458, 'lng': -9.179135475}",2021-05-26 01:00:00,QAPM
44,QAPM100004,1h,202105260100000000,UTC,17.0,µg/m3,Alcântara - Rua dos Lusíadas,"{'x': -90989.1053, 'y': -106364.6055, 'z': 0, 'lat': 38.70550458, 'lng': -9.179135475}",2021-05-26 01:00:00,QAPM
45,QA00CO0004,1h,202105260100000000,UTC,0.1985,mg/m3,Alcântara - Rua dos Lusíadas,"{'x': -90989.1053, 'y': -106364.6055, 'z': 0, 'lat': 38.70550458, 'lng': -9.179135475}",2021-05-26 01:00:00,QA00
46,RULAEQ0004,1h,202105260100000000,UTC,58.0,dB(A),Alcântara - Rua dos Lusíadas,"{'x': -90989.1053, 'y': -106364.6055, 'z': 0, 'lat': 38.70550458, 'lng': -9.179135475}",2021-05-26 01:00:00,RULA
