,id,avg,date,dateStandard,value,unit,address,coordinates,date_modified,acronimo_short
0,QAPM250001,1h,202107102200000000,UTC,5.0,µg/m3,Calçada da Ajuda,"{'x': -92781, 'y': -106663, 'z': 0, 'lat': 38.70263097, 'lng': -9.199692206}",2021-07-10 22:00:00,QAPM
1,QAPM100001,1h,202107102200000000,UTC,16.0,µg/m3,Calçada da Ajuda,"{'x': -92781, 'y': -106663, 'z': 0, 'lat': 38.70263097, 'lng': -9.199692206}",2021-07-10 22:00:00,QAPM
2,QA00CO0001,1h,202107102200000000,UTC,0.0492,mg/m3,Calçada da Ajuda,"{'x': -92781, 'y': -106663, 'z': 0, 'lat': 38.70263097, 'lng': -9.199692206}",2021-07-10 22:00:00,QA00
3,RULAEQ0001,1h,202107102200000000,UTC,53.0,dB(A),Calçada da Ajuda,"{'x': -92781, 'y': -106663, 'z': 0, 'lat': 38.70263097, 'lng': -9.199692206}",2021-07-10 22:00:00,RULA
4,ME00PA0001,1h,202107102200000000,UTC,1008.0,mbar,Calçada da Ajuda,"{'x': -92781, 'y': -106663, 'z': 0, 'lat': 38.70263097, 'lng': -9.199692206}",2021-07-10 22:00:00,ME00
5,ME00HR0001,1h,202107102200000000,UTC,39.2,%,Calçada da Ajuda,"{'x': -92781, 'y': -106663, 'z': 0, 'lat': 38.70263097, 'lng': -9.199692206}",2021-07-10 22:00:00,ME00
6,METEMP0001,1h,202107102200000000,UTC,26.7,ºC,Calçada da Ajuda,"{'x': -92781, 'y': -106663, 'z': 0, 'lat': 38.70263097, 'lng': -9.199692206}",2021-07-10 22:00:00,METE
7,QAPM250002,1h,202107102200000000,UTC,4.0,µg/m3,Restelo - Rua Gonçalo Velho Cabral,"{'x': -93600.6515, 'y': -106330.6078, 'z': 0, 'lat': 38.70553838, 'lng': -9.20915802}",2021-07-10 22:00:00,QAPM
8,QAPM100002,1h,202107102200000000,UTC,12.0,µg/m3,Restelo - Rua Gonçalo Velho Cabral,"{'x': -93600.6515, 'y': -106330.6078, 'z': 0, 'lat': 38.70553838, 'lng': -9.20915802}",2021-07-10 22:00:00,QAPM
9,QA00CO0002,1h,202107102200000000,UTC,0.1038,mg/m3,Restelo - Rua Gonçalo Velho Cabral,"{'x': -93600.6515, 'y': -106330.6078, 'z': 0, 'lat': 38.70553838, 'lng': -9.20915802}",2021-07-10 22:00:00,QA00
10,RULAEQ0002,1h,202107102200000000,UTC,52.0,dB(A),Restelo - Rua Gonçalo Velho Cabral,"{'x': -93600.6515, 'y': -106330.6078, 'z': 0, 'lat': 38.70553838, 'lng': -9.20915802}",2021-07-10 22:00:00,RULA
11,ME00PA0002,1h,202107102200000000,UTC,1005.0,mbar,Restelo - Rua Gonçalo Velho Cabral,"{'x': -93600.6515, 'y': -106330.6078, 'z': 0, 'lat': 38.70553838, 'lng': -9.20915802}",2021-07-10 22:00:00,ME00
12,ME00HR0002,1h,202107102200000000,UTC,41.5,%,Restelo - Rua Gonçalo Velho Cabral,"{'x': -93600.6515, 'y': -106330.6078, 'z': 0, 'lat': 38.70553838, 'lng': -9.20915802}",2021-07-10 22:00:00,ME00
13,METEMP0002,1h,202107102200000000,UTC,26.0,ºC,Restelo - Rua Gonçalo Velho Cabral,"{'x': -93600.6515, 'y': -106330.6078, 'z': 0, 'lat': 38.70553838, 'lng': -9.20915802}",2021-07-10 22:00:00,METE
14,QAPM250003,1h,202107102200000000,UTC,4.0,µg/m3,Cais do Sodré,"{'x': -87898.5002957, 'y': -106426.059635, 'z': 0, 'lat': 38.7052635, 'lng': -9.143602756}",2021-07-10 22:00:00,QAPM
15,QAPM100003,1h,202107102200000000,UTC,13.0,µg/m3,Cais do Sodré,"{'x': -87898.5002957, 'y': -106426.059635, 'z': 0, 'lat': 38.7052635, 'lng': -9.143602756}",2021-07-10 22:00:00,QAPM
16,QA00CO0003,1h,202107102200000000,UTC,0.08270000000000001,mg/m3,Cais do Sodré,"{'x': -87898.5002957, 'y': -106426.059635, 'z': 0, 'lat': 38.7052635, 'lng': -9.143602756}",2021-07-10 22:00:00,QA00
17,RULAEQ0003,1h,202107102200000000,UTC,57.0,dB(A),Cais do Sodré,"{'x': -87898.5002957, 'y': -106426.059635, 'z': 0, 'lat': 38.7052635, 'lng': -9.143602756}",2021-07-10 22:00:00,RULA
18,ME00PA0003,1h,202107102200000000,UTC,1011.0,mbar,Cais do Sodré,"{'x': -87898.5002957, 'y': -106426.059635, 'z': 0, 'lat': 38.7052635, 'lng': -9.143602756}",2021-07-10 22:00:00,ME00
19,ME00HR0003,1h,202107102200000000,UTC,39.4,%,Cais do Sodré,"{'x': -87898.5002957, 'y': -106426.059635, 'z': 0, 'lat': 38.7052635, 'lng': -9.143602756}",2021-07-10 22:00:00,ME00
20,METEMP0003,1h,202107102200000000,UTC,26.7,ºC,Cais do Sodré,"{'x': -87898.5002957, 'y': -106426.059635, 'z': 0, 'lat': 38.7052635, 'lng': -9.143602756}",2021-07-10 22:00:00,METE
21,QA0NO20004,1h,202107102200000000,UTC,53.0,µg/m3,Alcântara - Rua dos Lusíadas,"{'x': -90989.1053, 'y': -106364.6055, 'z': 0, 'lat': 38.70550458, 'lng': -9.179135475}",2021-07-10 22:00:00,QA0N
22,QAPM250004,1h,202107102200000000,UTC,4.0,µg/m3,Alcântara - Rua dos Lusíadas,"{'x': -90989.1053, 'y': -106364.6055, 'z': 0, 'lat': 38.70550458, 'lng': -9.179135475}",2021-07-10 22:00:00,QAPM
23,QAPM100004,1h,202107102200000000,UTC,9.0,µg/m3,Alcântara - Rua dos Lusíadas,"{'x': -90989.1053, 'y': -106364.6055, 'z': 0, 'lat': 38.70550458, 'lng': -9.179135475}",2021-07-10 22:00:00,QAPM
24,QA00CO0004,1h,202107102200000000,UTC,0.259,mg/m3,Alcântara - Rua dos Lusíadas,"{'x': -90989.1053, 'y': -106364.6055, 'z': 0, 'lat': 38.70550458, 'lng': -9.179135475}",2021-07-10 22:00:00,QA00
25,RULAEQ0004,1h,202107102200000000,UTC,62.0,dB(A),Alcântara - Rua dos Lusíadas,"{'x': -90989.1053, 'y': -106364.6055, 'z': 0, 'lat': 38.70550458, 'lng': -9.179135475}",2021-07-10 22:00:00,RULA
26,ME00PA0004,1h,202107102200000000,UTC,1014.0,mbar,Alcântara - Rua dos Lusíadas,"{'x': -90989.1053, 'y': -106364.6055, 'z': 0, 'lat': 38.70550458, 'lng': -9.179135475}",2021-07-10 22:00:00,ME00
27,ME00HR0004,1h,202107102200000000,UTC,43.6,%,Alcântara - Rua dos Lusíadas,"{'x': -90989.1053, 'y': -106364.6055, 'z': 0, 'lat': 38.70550458, 'lng': -9.179135475}",2021-07-10 22:00:00,ME00
28,METEMP0004,1h,202107102200000000,UTC,28.5,ºC,Alcântara - Rua dos Lusíadas,"{'x': -90989.1053, 'y': -106364.6055, 'z': 0, 'lat': 38.70550458, 'lng': -9.179135475}",2021-07-10 22:00:00,METE
29,QAPM250005,1h,202107102200000000,UTC,4.0,µg/m3,Avenida Vinte e Quatro de Julho,"{'x': -89030, 'y': -106299, 'z': 0, 'lat': 38.70629477, 'lng': -9.156625047}",2021-07-10 22:00:00,QAPM
30,QAPM100005,1h,202107102200000000,UTC,13.0,µg/m3,Avenida Vinte e Quatro de Julho,"{'x': -89030, 'y': -106299, 'z': 0, 'lat': 38.70629477, 'lng': -9.156625047}",2021-07-10 22:00:00,QAPM
31,QA00CO0005,1h,202107102200000000,UTC,0.2359,mg/m3,Avenida Vinte e Quatro de Julho,"{'x': -89030, 'y': -106299, 'z': 0, 'lat': 38.70629477, 'lng': -9.156625047}",2021-07-10 22:00:00,QA00
32,RULAEQ0005,1h,202107102200000000,UTC,54.0,dB(A),Avenida Vinte e Quatro de Julho,"{'x': -89030, 'y': -106299, 'z': 0, 'lat': 38.70629477, 'lng': -9.156625047}",2021-07-10 22:00:00,RULA
33,ME00PA0005,1h,202107102200000000,UTC,1011.0,mbar,Avenida Vinte e Quatro de Julho,"{'x': -89030, 'y': -106299, 'z': 0, 'lat': 38.70629477, 'lng': -9.156625047}",2021-07-10 22:00:00,ME00
34,ME00HR0005,1h,202107102200000000,UTC,37.3,%,Avenida Vinte e Quatro de Julho,"{'x': -89030, 'y': -106299, 'z': 0, 'lat': 38.70629477, 'lng': -9.156625047}",2021-07-10 22:00:00,ME00
35,METEMP0005,1h,202107102200000000,UTC,27.5,ºC,Avenida Vinte e Quatro de Julho,"{'x': -89030, 'y': -106299, 'z': 0, 'lat': 38.70629477, 'lng': -9.156625047}",2021-07-10 22:00:00,METE
36,QA0NO20008,1h,202107102200000000,UTC,36.0,µg/m3,Baixa - Rua do Ouro,"{'x': -87413.3926, 'y': -105994.752, 'z': 0, 'lat': 38.70919626, 'lng': -9.138081068}",2021-07-10 22:00:00,QA0N
37,QAPM250008,1h,202107102200000000,UTC,9.0,µg/m3,Baixa - Rua do Ouro,"{'x': -87413.3926, 'y': -105994.752, 'z': 0, 'lat': 38.70919626, 'lng': -9.138081068}",2021-07-10 22:00:00,QAPM
38,QAPM100008,1h,202107102200000000,UTC,10.0,µg/m3,Baixa - Rua do Ouro,"{'x': -87413.3926, 'y': -105994.752, 'z': 0, 'lat': 38.70919626, 'lng': -9.138081068}",2021-07-10 22:00:00,QAPM
39,QA00CO0008,1h,202107102200000000,UTC,0.2564,mg/m3,Baixa - Rua do Ouro,"{'x': -87413.3926, 'y': -105994.752, 'z': 0, 'lat': 38.70919626, 'lng': -9.138081068}",2021-07-10 22:00:00,QA00
