,id,avg,date,dateStandard,value,unit,address,coordinates,date_modified,acronimo_short
0,QAPM250001,1h,202106141500000000,UTC,12.0,µg/m3,Calçada da Ajuda,"{'x': -92781, 'y': -106663, 'z': 0, 'lat': 38.70263097, 'lng': -9.199692206}",2021-06-14 15:00:00,QAPM
1,QAPM100001,1h,202106141500000000,UTC,31.0,µg/m3,Calçada da Ajuda,"{'x': -92781, 'y': -106663, 'z': 0, 'lat': 38.70263097, 'lng': -9.199692206}",2021-06-14 15:00:00,QAPM
2,QA00CO0001,1h,202106141500000000,UTC,-99.0,mg/m3,Calçada da Ajuda,"{'x': -92781, 'y': -106663, 'z': 0, 'lat': 38.70263097, 'lng': -9.199692206}",2021-06-14 15:00:00,QA00
3,RULAEQ0001,1h,202106141500000000,UTC,53.0,dB(A),Calçada da Ajuda,"{'x': -92781, 'y': -106663, 'z': 0, 'lat': 38.70263097, 'lng': -9.199692206}",2021-06-14 15:00:00,RULA
4,ME00PA0001,1h,202106141500000000,UTC,1012.0,Mbar,Calçada da Ajuda,"{'x': -92781, 'y': -106663, 'z': 0, 'lat': 38.70263097, 'lng': -9.199692206}",2021-06-14 15:00:00,ME00
5,ME00HR0001,1h,202106141500000000,UTC,56.1,%,Calçada da Ajuda,"{'x': -92781, 'y': -106663, 'z': 0, 'lat': 38.70263097, 'lng': -9.199692206}",2021-06-14 15:00:00,ME00
6,METEMP0001,1h,202106141500000000,UTC,26.5,ºC,Calçada da Ajuda,"{'x': -92781, 'y': -106663, 'z': 0, 'lat': 38.70263097, 'lng': -9.199692206}",2021-06-14 15:00:00,METE
7,QAPM250002,1h,202106141500000000,UTC,11.0,µg/m3,Restelo - Rua Gonçalo Velho Cabral,"{'x': -93600.6515, 'y': -106330.6078, 'z': 0, 'lat': 38.70553838, 'lng': -9.20915802}",2021-06-14 15:00:00,QAPM
8,QAPM100002,1h,202106141500000000,UTC,28.0,µg/m3,Restelo - Rua Gonçalo Velho Cabral,"{'x': -93600.6515, 'y': -106330.6078, 'z': 0, 'lat': 38.70553838, 'lng': -9.20915802}",2021-06-14 15:00:00,QAPM
9,QA00CO0002,1h,202106141500000000,UTC,0.0126,mg/m3,Restelo - Rua Gonçalo Velho Cabral,"{'x': -93600.6515, 'y': -106330.6078, 'z': 0, 'lat': 38.70553838, 'lng': -9.20915802}",2021-06-14 15:00:00,QA00
